E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]
AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
E1.1.1.3; homoserine dehydrogenase [EC:1.1.1.3]
BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]
gldA; glycerol dehydrogenase [EC:1.1.1.6]
GPD1; glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]
dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]
mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]
iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]
AKR1B; aldehyde reductase [EC:1.1.1.21]
UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]
hisD; histidinol dehydrogenase [EC:1.1.1.23]
aroE; shikimate dehydrogenase [EC:1.1.1.25]
gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]
LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]
hprA; glycerate dehydrogenase [EC:1.1.1.29]
E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]
mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]
HADH; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]
mdh; malate dehydrogenase [EC:1.1.1.37]
MDH1; malate dehydrogenase [EC:1.1.1.37]
MDH2; malate dehydrogenase [EC:1.1.1.37]
ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]
E1.1.1.39; malate dehydrogenase (decarboxylating) [EC:1.1.1.39]
E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]
E1.1.1.43; phosphogluconate 2-dehydrogenase [EC:1.1.1.43]
PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
gdh; glucose 1-dehydrogenase [EC:1.1.1.47]
gal; D-galactose 1-dehydrogenase [EC:1.1.1.48]
G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]
rbtD; ribitol 2-dehydrogenase [EC:1.1.1.56]
uxuB; fructuronate reductase [EC:1.1.1.57]
uxaB; tagaturonate reductase [EC:1.1.1.58]
garR, glxR; 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]
gbd; 4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]
E1.1.1.67, mtlK; mannitol 2-dehydrogenase [EC:1.1.1.67]
idnO; gluconate 5-dehydrogenase [EC:1.1.1.69]
fucO; lactaldehyde reductase [EC:1.1.1.77]
GRHPR; glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]
ttuD; hydroxypyruvate reductase [EC:1.1.1.81]
E1.1.1.82; malate dehydrogenase (NADP+) [EC:1.1.1.82]
leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]
ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]
mvaA; hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]
E1.1.1.90; aryl-alcohol dehydrogenase [EC:1.1.1.90]
gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]
serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]
fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
tdh; threonine 3-dehydrogenase [EC:1.1.1.103]
RDH5; 11-cis-retinol dehydrogenase [EC:1.1.1.315]
E1.1.1.116; D-arabinose 1-dehydrogenase [EC:1.1.1.116]
ARA1; D-arabinose 1-dehydrogenase [EC:1.1.1.117]
E1.1.1.122; D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]
kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]
algD; GDP-mannose 6-dehydrogenase [EC:1.1.1.132]
