#OTU_IDs	16S_rRNA_Count
370251	5.0
4473812	2.0
3209311	3.0
4473818	4.0
4470541	2.0
4424923	4.0
4470542	2.0
4424926	3.0
4470547	3.0
4424925	3.0
4470549	3.0
649518	3.0
4424928	2.0
252560	2.0
2592645	3.0
4364732	3.0
4364739	2.0
776288	2.0
97153	2.0
97151	3.0
638076	12.0
776283	3.0
780912	2.0
762274	3.0
842284	2.0
4321924	5.0
16700	2.0
762273	3.0
88021	2.0
323050	4.0
323057	2.0
583936	4.0
247493	1.0
583939	3.0
549759	2.0
119867	1.0
4302248	2.0
671258	2.0
235963	2.0
235962	2.0
176062	4.0
176063	2.0
176060	4.0
176067	1.0
4370042	1.0
247460	7.0
554377	2.0
818562	6.0
554375	1.0
554372	4.0
4363440	2.0
742886	3.0
353261	2.0
821003	1.0
821005	2.0
306940	2.0
4362195	2.0
4362197	2.0
4362191	2.0
160254	2.0
160252	4.0
1032480	1.0
3443119	6.0
2460828	3.0
2595969	5.0
2595968	2.0
2595967	4.0
4403168	6.0
513052	2.0
513053	2.0
513055	2.0
2140550	1.0
3078693	2.0
549936	2.0
828183	3.0
4356914	3.0
587139	2.0
549939	2.0
533393	1.0
1144393	5.0
4238463	2.0
3634427	3.0
1042479	4.0
256121	3.0
290485	2.0
4419621	4.0
290480	4.0
4419624	3.0
1141414	4.0
1141418	3.0
242145	2.0
242143	3.0
242142	2.0
242141	4.0
433883	2.0
303233	2.0
303239	4.0
27616	8.0
2416148	2.0
4447934	3.0
4447932	6.0
4447933	3.0
4447930	3.0
174680	1.0
263179	1.0
174686	3.0
557633	1.0
174688	2.0
263171	3.0
4402610	4.0
1137375	4.0
4474780	3.0
4474787	4.0
4474788	2.0
564849	1.0
2463703	1.0
570826	2.0
1119473	3.0
1119470	2.0
816268	3.0
141161	2.0
4364733	1.0
107898	5.0
1134668	5.0
609982	7.0
617348	2.0
161513	2.0
277901	1.0
617340	3.0
617346	4.0
1685009	1.0
150160	1.0
4334911	5.0
572083	3.0
4327501	4.0
572089	2.0
266452	4.0
4379957	1.0
310906	2.0
807337	2.0
266458	6.0
4405135	2.0
4405133	3.0
683458	2.0
4027691	1.0
1107649	4.0
670399	3.0
1107640	3.0
2795129	8.0
581168	3.0
535138	4.0
250382	3.0
535135	3.0
515067	7.0
2001885	3.0
309428	5.0
1105860	3.0
1105862	2.0
309422	5.0
355064	2.0
301218	4.0
330908	5.0
330905	7.0
330900	4.0
330903	2.0
330902	3.0
351693	1.0
351698	3.0
620656	3.0
343273	6.0
4267879	2.0
727545	2.0
1106515	2.0
1106514	1.0
3239359	3.0
265102	5.0
265106	1.0
15708	2.0
295516	2.0
534265	2.0
4328851	2.0
15700	2.0
15704	2.0
3816676	8.0
3466729	7.0
3631907	3.0
3466725	4.0
269732	3.0
187418	4.0
899275	3.0
243530	7.0
4347498	2.0
4347499	1.0
4347494	2.0
4347495	2.0
4347492	1.0
4340148	2.0
4340147	7.0
4340146	2.0
862357	3.0
4415984	2.0
1120752	3.0
4415986	2.0
1120757	3.0
4415981	2.0
4415982	2.0
4415983	2.0
344726	1.0
298641	4.0
344725	3.0
4415988	2.0
4415989	3.0
136857	3.0
531721	3.0
531722	5.0
3645911	3.0
346388	2.0
346389	3.0
157246	4.0
822693	2.0
3927146	2.0
4453317	1.0
4453318	1.0
109851	4.0
268462	1.0
621516	4.0
169927	3.0
169921	3.0
4461154	4.0
4461155	3.0
4461156	7.0
4461157	6.0
562096	9.0
206024	3.0
980525	2.0
345899	4.0
299516	4.0
183413	1.0
52466	2.0
183414	1.0
374557	3.0
183419	1.0
180140	1.0
180141	5.0
2038051	2.0
132661	6.0
132662	6.0
3532472	2.0
188772	3.0
235969	2.0
4310735	2.0
813735	3.0
614663	2.0
614662	2.0
218096	1.0
218095	3.0
4314573	3.0
3846637	3.0
3582695	4.0
652645	2.0
3290486	3.0
680397	2.0
1625694	2.0
4460404	4.0
1625696	3.0
537183	1.0
4342167	2.0
4342166	3.0
4450831	2.0
929111	3.0
537188	1.0
325329	1.0
4399059	2.0
325326	8.0
205397	4.0
205391	1.0
3831498	1.0
571553	3.0
261971	5.0
2486312	3.0
4396557	1.0
1863625	1.0
583837	2.0
583838	4.0
703731	1.0
1863620	5.0
821579	3.0
555348	1.0
203941	2.0
821570	2.0
4423773	4.0
4423770	7.0
135947	6.0
4423777	4.0
4423774	3.0
4423775	5.0
4423778	5.0
2919166	2.0
322678	3.0
1117097	2.0
1117094	3.0
554378	2.0
4383412	2.0
4383413	2.0
281078	2.0
38561	2.0
38560	2.0
38566	2.0
320298	3.0
4310951	5.0
320291	6.0
320297	3.0
622740	3.0
246200	2.0
306945	3.0
821008	2.0
567355	6.0
2816796	1.0
587489	2.0
300870	4.0
300877	1.0
300879	4.0
4422420	1.0
575478	3.0
575472	3.0
4362193	2.0
3383663	4.0
4412017	2.0
4412015	2.0
272800	4.0
785554	2.0
538662	3.0
723041	1.0
591285	3.0
417361	2.0
417366	3.0
574890	2.0
4322377	2.0
4322378	2.0
4322379	6.0
574893	3.0
585228	5.0
585229	3.0
585220	3.0
585221	3.0
585227	4.0
3562948	2.0
4368675	4.0
4321489	1.0
242437	1.0
1891666	3.0
226506	1.0
226502	3.0
226508	2.0
543870	3.0
213180	4.0
213189	2.0
2912140	3.0
580768	2.0
2912147	1.0
154843	2.0
154845	4.0
158711	5.0
261043	5.0
4401857	7.0
241317	3.0
241315	4.0
843454	3.0
1108984	1.0
843459	4.0
4320991	7.0
625825	2.0
4326132	1.0
4326133	3.0
4326130	4.0
834845	9.0
4378519	1.0
1001007	5.0
192058	4.0
354963	1.0
305512	2.0
830355	2.0
581410	2.0
581412	4.0
153105	2.0
1609478	1.0
4354885	5.0
1609472	2.0
240992	6.0
1609471	2.0
1609476	2.0
153109	2.0
1609474	3.0
260316	1.0
148429	2.0
300041	2.0
842326	2.0
875704	3.0
300045	2.0
875709	6.0
580286	4.0
323155	4.0
323152	2.0
1009254	5.0
806378	1.0
518474	2.0
4457439	3.0
518471	5.0
162570	4.0
350891	5.0
350896	3.0
2626017	2.0
510265	2.0
4404577	2.0
4404575	3.0
1139892	9.0
4324196	5.0
1139897	1.0
198176	1.0
198170	3.0
2517242	2.0
815453	3.0
190786	2.0
295061	2.0
368134	5.0
1032520	2.0
4300017	3.0
4300016	3.0
806221	2.0
578457	4.0
4439571	1.0
4483751	2.0
4309574	2.0
4309577	3.0
982266	9.0
264560	2.0
575551	3.0
4282096	10.0
263036	3.0
263035	2.0
567115	1.0
1136701	5.0
533217	4.0
751725	4.0
566951	2.0
4301760	2.0
4069762	2.0
4301762	3.0
4301763	4.0
539917	2.0
289191	5.0
587132	3.0
539915	3.0
197250	2.0
583348	2.0
3269222	3.0
540516	2.0
1864498	10.0
540513	4.0
4478050	3.0
882023	2.0
584444	2.0
882028	3.0
4402791	4.0
1137229	2.0
4402797	1.0
533392	3.0
4294845	2.0
4454318	10.0
1105544	2.0
266552	5.0
266551	2.0
760955	2.0
1119537	2.0
1058761	2.0
296290	4.0
196125	4.0
196123	2.0
748462	3.0
256127	2.0
297038	2.0
256788	2.0
845878	2.0
2853112	2.0
617066	2.0
563200	2.0
563202	2.0
295898	2.0
227900	3.0
295892	2.0
4475573	2.0
62922	2.0
3861782	4.0
3770699	2.0
652245	5.0
1107568	2.0
1107562	2.0
1097208	5.0
153279	2.0
99384	3.0
1066748	5.0
4398656	5.0
3773964	1.0
99387	9.0
4398658	1.0
808907	4.0
4424360	2.0
232223	1.0
232222	5.0
167420	3.0
186242	1.0
846497	2.0
186248	6.0
2352826	1.0
753378	3.0
4346649	10.0
1568317	2.0
251050	2.0
345756	2.0
345757	1.0
202525	3.0
345753	1.0
202528	2.0
3388641	2.0
346228	2.0
4465255	4.0
605803	3.0
4465250	5.0
194504	3.0
83388	2.0
194508	7.0
1145519	2.0
269674	2.0
168952	3.0
4466508	3.0
433880	2.0
511820	4.0
705850	2.0
561221	6.0
569436	3.0
814193	4.0
31763	1.0
550931	2.0
298562	4.0
550936	7.0
298561	3.0
981957	3.0
4481522	3.0
4481520	2.0
1120090	1.0
4481528	2.0
183592	4.0
2360515	2.0
523244	4.0
523246	4.0
173340	3.0
183598	4.0
306769	4.0
1117949	1.0
4418394	1.0
4418395	6.0
303498	1.0
4332078	4.0
1569897	2.0
4332073	2.0
4332076	2.0
562757	4.0
317869	4.0
562753	3.0
317865	3.0
562759	2.0
317862	6.0
4447936	3.0
510511	1.0
4760	3.0
4762	2.0
4765	3.0
172438	4.0
287514	2.0
4769	5.0
2272797	6.0
2272791	4.0
452998	4.0
