Species	Kingdom	Phylum	Class	Order	Family	Genus	Species	GCF
s__Methanopyrus_kandleri	k__Archaea	p__Euryarchaeota	c__Methanopyri	o__Methanopyrales	f__Methanopyraceae	g__Methanopyrus	s__Methanopyrus_kandleri	GCF_000007185
s__Methanothermus_fervidus	k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanothermaceae	g__Methanothermus	s__Methanothermus_fervidus	GCF_000166095
s__Methanothermobacter_thermautotrophicus	k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanothermobacter	s__Methanothermobacter_thermautotrophicus	GCF_000008645
s__Methanothermobacter_marburgensis	k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanothermobacter	s__Methanothermobacter_marburgensis	GCF_000145295
s__Methanobacterium_formicicum	k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobacterium	s__Methanobacterium_formicicum	GCF_000302455
s__Methanobacterium_sp_Maddingley_MBC34	k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobacterium	s__Methanobacterium_sp_Maddingley_MBC34	GCF_000309865
s__Methanobacterium_sp_AL_21	k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobacterium	s__Methanobacterium_sp_AL_21	GCF_000191585
s__Methanobacterium_sp_SWAN_1	k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobacterium	s__Methanobacterium_sp_SWAN_1	GCF_000214725
s__Methanosphaera_stadtmanae	k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanosphaera	s__Methanosphaera_stadtmanae	GCF_000012545
s__Methanobrevibacter_smithii	k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobrevibacter	s__Methanobrevibacter_smithii	GCF_000151245
s__Methanobrevibacter_ruminantium	k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobrevibacter	s__Methanobrevibacter_ruminantium	GCF_000024185
s__Methanobrevibacter_sp_AbM4	k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobrevibacter	s__Methanobrevibacter_sp_AbM4	GCF_000404165
s__Methanocaldococcus_infernus	k__Archaea	p__Euryarchaeota	c__Methanococci	o__Methanococcales	f__Methanocaldococcaceae	g__Methanocaldococcus	s__Methanocaldococcus_infernus	GCF_000092305
s__Methanocaldococcus_villosus	k__Archaea	p__Euryarchaeota	c__Methanococci	o__Methanococcales	f__Methanocaldococcaceae	g__Methanocaldococcus	s__Methanocaldococcus_villosus	GCF_000371805
s__Methanocaldococcus_vulcanius	k__Archaea	p__Euryarchaeota	c__Methanococci	o__Methanococcales	f__Methanocaldococcaceae	g__Methanocaldococcus	s__Methanocaldococcus_vulcanius	GCF_000024625
s__Methanocaldococcus_fervens	k__Archaea	p__Euryarchaeota	c__Methanococci	o__Methanococcales	f__Methanocaldococcaceae	g__Methanocaldococcus	s__Methanocaldococcus_fervens	GCF_000023985
s__Methanocaldococcus_sp_FS406_22	k__Archaea	p__Euryarchaeota	c__Methanococci	o__Methanococcales	f__Methanocaldococcaceae	g__Methanocaldococcus	s__Methanocaldococcus_sp_FS406_22	GCF_000025525
s__Methanocaldococcus_jannaschii	k__Archaea	p__Euryarchaeota	c__Methanococci	o__Methanococcales	f__Methanocaldococcaceae	g__Methanocaldococcus	s__Methanocaldococcus_jannaschii	GCF_000091665
s__Methanotorris_igneus	k__Archaea	p__Euryarchaeota	c__Methanococci	o__Methanococcales	f__Methanocaldococcaceae	g__Methanotorris	s__Methanotorris_igneus	GCF_000214415
s__Methanotorris_formicicus	k__Archaea	p__Euryarchaeota	c__Methanococci	o__Methanococcales	f__Methanocaldococcaceae	g__Methanotorris	s__Methanotorris_formicicus	GCF_000243455
s__Methanococcus_aeolicus	k__Archaea	p__Euryarchaeota	c__Methanococci	o__Methanococcales	f__Methanococcaceae	g__Methanococcus	s__Methanococcus_aeolicus	GCF_000017185
s__Methanothermococcus_okinawensis	k__Archaea	p__Euryarchaeota	c__Methanococci	o__Methanococcales	f__Methanococcaceae	g__Methanothermococcus	s__Methanothermococcus_okinawensis	GCF_000179575
