Euryarchaeota	Methanopyri	Methanopyrales	Methanopyraceae	Methanopyrus
Euryarchaeota	Methanobacteria	Methanobacteriales	Methanothermaceae	Methanothermus
Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter
Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter
Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium
Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium
Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium
Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium
Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera
Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter
Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter
Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter
Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus
Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus
Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus
Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus
Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus
Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus
Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanotorris
Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanotorris
Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus
Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanothermococcus
Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanothermococcus
Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus
Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus
Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus
Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus
Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus
Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus
Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus
Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus
Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus
Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus
Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus
Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus
Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus
Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus
Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus
Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus
Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus
Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus
Euryarchaeota	Methanomicrobia	Methanomicrobia_noname	Methanomicrobia_noname	Methanomassiliicoccus
Euryarchaeota	Euryarchaeota_noname	Euryarchaeota_noname	Euryarchaeota_noname	Aciduliprofundum
Euryarchaeota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	Thermoplasma
Euryarchaeota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	Thermoplasma
Euryarchaeota	Thermoplasmata	Thermoplasmatales	Picrophilaceae	Picrophilus
Euryarchaeota	Thermoplasmata	Thermoplasmatales	Ferroplasmaceae	Ferroplasma
Nanoarchaeota	Nanoarchaeota_noname	Nanoarchaeota_noname	Nanoarchaeota_noname	Nanoarchaeum
Thaumarchaeota	Thaumarchaeota_noname	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
Thaumarchaeota	Thaumarchaeota_noname	Thaumarchaeota_noname	Thaumarchaeota_noname	Thaumarchaeota_noname
Thaumarchaeota	Thaumarchaeota_noname	Thaumarchaeota_noname	Thaumarchaeota_noname	Thaumarchaeota_noname
Thaumarchaeota	Thaumarchaeota_noname	Cenarchaeales	Cenarchaeaceae	Cenarchaeum
Thaumarchaeota	Thaumarchaeota_noname	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosoarchaeum
Thaumarchaeota	Thaumarchaeota_noname	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosoarchaeum
Thaumarchaeota	Thaumarchaeota_noname	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus
Thaumarchaeota	Thaumarchaeota_noname	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus
Thaumarchaeota	Thaumarchaeota_noname	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus
Thaumarchaeota	Thaumarchaeota_noname	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus
Thaumarchaeota	Thaumarchaeota_noname	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus
Korarchaeota	Korarchaeota_noname	Korarchaeota_noname	Korarchaeota_noname	Candidatus_Korarchaeum
Crenarchaeota	Crenarchaeota_noname	Crenarchaeota_noname	Crenarchaeota_noname	Crenarchaeota_noname
Crenarchaeota	Crenarchaeota_noname	Crenarchaeota_noname	Crenarchaeota_noname	Crenarchaeota_noname
Crenarchaeota	Crenarchaeota_noname	Crenarchaeota_noname	Crenarchaeota_noname	Crenarchaeota_noname
Crenarchaeota	Thermoprotei	Thermoproteales	Thermofilaceae	Thermofilum
Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Caldivirga
Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Vulcanisaeta
Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Vulcanisaeta
Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Thermoproteus
Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum
Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum
Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum
Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum
Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum
Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum
Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum
Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignicoccus
Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Acidianus
Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera
Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera
Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera
Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus
Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus
Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus
Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus
Crenarchaeota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Hyperthermus
Crenarchaeota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Pyrolobus
Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Aeropyrum
Crenarchaeota	Thermoprotei	Acidilobales	Acidilobaceae	Acidilobus
Crenarchaeota	Thermoprotei	Acidilobales	Caldisphaeraceae	Caldisphaera
Crenarchaeota	Thermoprotei	Fervidicoccales	Fervidicoccaceae	Fervidicoccus
Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignisphaera
Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Staphylothermus
Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Staphylothermus
Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Thermogladius
Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Thermosphaera
Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus
Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus
Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus
Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Ferroglobus
Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus
Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus
Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus
Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus
Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoplanus
Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoplanus
Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanocorpusculaceae	Methanocorpusculum
Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanospirillaceae	Methanospirillum
Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanolinea
Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanofollis
Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus
Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus
Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanosphaerula
Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanoregula
Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanoregula
Euryarchaeota	Methanomicrobia	Methanocellales	Methanocellaceae	Methanocella
Euryarchaeota	Methanomicrobia	Methanocellales	Methanocellaceae	Methanocella
Euryarchaeota	Methanomicrobia	Methanocellales	Methanocellaceae	Methanocella
Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosaetaceae	Methanosaeta
Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosaetaceae	Methanosaeta
Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosaetaceae	Methanosaeta
Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina
Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina
Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina
Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanohalophilus
Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanohalobium
Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosalsum
Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanococcoides
Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanomethylovorans
Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanolobus
Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanolobus
Poribacteria	Poribacteria_noname	Poribacteria_noname	Poribacteria_noname	Poribacteria_noname
Euryarchaeota	Euryarchaeota_noname	Euryarchaeota_noname	Euryarchaeota_noname	Euryarchaeota_noname
Euryarchaeota	Nanohaloarchaea	Nanohaloarchaea_noname	Nanohaloarchaea_noname	Nanohaloarchaea_noname
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halarchaeum
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium
Archaea_noname	Archaea_noname	Archaea_noname	Archaea_noname	Archaea_noname
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Candidatus_Halobonum
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halorubrum
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halorubrum
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halorubrum
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halorubrum
Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halorubrum
